subject_group	total
Economics, Philosophy, Politics, Religion & Sociology/Society, Primitive	19
Crafts & Visual Arts/Arts, European	5
Literature/Steinbeck, John, 1902-1968	4
People/Mccartney-Snape, Tim	3
Places/Kashmir	9
Economics, Philosophy, Politics, Religion & Sociology/Indonesia - Foreign relations	8
People/Gorbachev, Mikhail Sergeevich, 1931-	1
Hobbies, Recreation & Sport/Squash	7
History/Slavery - Emancipation	16
Crafts & Visual Arts/Art and religion	47
Anthropology, Ethnology, Exploration & Travel/Hotels	7
Anthropology, Ethnology, Exploration & Travel/Puerto Rico	9
Literature/Booksellers and bookselling	12
Anthropology, Ethnology, Exploration & Travel/Afghanistan - Social life and customs	13
Food, Health, Lifestyle, Medicine, Psychology & Safety/Parapsychology	5
Economics, Philosophy, Politics, Religion & Sociology/Legal services - Australia	12
Communications, Infrastructure, & Transport/Housing - Australia	33
Family, Gender Identity, Relationships & Sexuality/Emotional and behavioral difficulties in children	53
Magic, Occult & Supernatural/Magicians	38
Crafts & Visual Arts/Art - Exhibitions	166
Advertising, Film, Journalism, Mass Media & TV/Chapman, Jan	1
Anthropology, Ethnology, Exploration & Travel/Legends - New Zealand	4
Music & Performing Arts/Fitzgerald, Ella	3
People/Bullimore, Tony	1
Economics, Philosophy, Politics, Religion & Sociology/Philosophy and religion	36
Education, Instruction, Teaching & Schools/Education - Canada	23
Crafts & Visual Arts/Indians of North America - Art	8
Economics, Philosophy, Politics, Religion & Sociology/Arabs - Religion	14
People/Blake, Audrey	1
Crafts & Visual Arts/Jewelry making	18
Mathematics, Science & Technology/Crystallography	12
Music & Performing Arts/Indians of North America - Canada - Dances	3
Music & Performing Arts/Rock musicians	77
Food, Health, Lifestyle, Medicine, Psychology & Safety/Abnormal psychology	1
History/Czech Republic - History - Intervention, 1968	3
Hobbies, Recreation & Sport/Olympics	77
People/Laurence, Margaret, 1926-1987	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Handicapped children - Recreation	9
Advertising, Film, Journalism, Mass Media & TV/Film festivals - Canada - Vancouver - Awards	7
People/Seurat, Georges, 1859-1891	9
Anthropology, Ethnology, Exploration & Travel/Victoria - Social life and customs	72
Animals & Wildlife/Animals - Adaptation	70
Education, Instruction, Teaching & Schools/Calculators	8
Places/Australian Alps (N.S.W. and Vic.)	10
Food, Health, Lifestyle, Medicine, Psychology & Safety/Handicapped women	4
Crafts & Visual Arts/Woodwork	49
