subject_group	total
Family, Gender Identity, Relationships & Sexuality/Sexual behavior in animals	6
History/Expo '70 (Osaka, Japan)	7
People/Thiele, Colin, 1920-	5
Economics, Philosophy, Politics, Religion & Sociology/Mining districts - Social aspects	26
Music & Performing Arts/Borovansky, Edouard, 1902-1959	2
Literature/Chinese literature - Film and video adaptations	20
Music & Performing Arts/Rock groups - Biography	8
Places/Tokamore (N.S.W.)	1
Economics, Philosophy, Politics, Religion & Sociology/Probation - United States	4
People/Krieghoff, Cornelius, 1815-1872	1
Economics, Philosophy, Politics, Religion & Sociology/Corruption	46
Food, Health, Lifestyle, Medicine, Psychology & Safety/Physical fitness for children	22
Economics, Philosophy, Politics, Religion & Sociology/Intercultural communication	27
Agriculture, Business, Commerce & Industry/International agencies	41
Climate, Environment, Natural Resources & Disasters/Mines and mineral resources	55
Education, Instruction, Teaching & Schools/Public speaking	34
Climate, Environment, Natural Resources & Disasters/Flower gardening	14
People/Caligula, Emperor of Rome, 12-41	1
People/Choudhury, Bijan	1
People/Bolivar, Simon, 1783-1830	1
Literature/Arthurian romances - Film and video adaptations	6
Food, Health, Lifestyle, Medicine, Psychology & Safety/Rape - Prevention	6
Armed Forces, Military, War & Weapons/Escapes	23
Climate, Environment, Natural Resources & Disasters/Pesticides - Environmental aspects	13
Crafts & Visual Arts/Sewing	15
People/Suleyman I, Sultan of the Turks, 1494 or 5-1566	1
Climate, Environment, Natural Resources & Disasters/Land degradation	32
Anthropology, Ethnology, Exploration & Travel/New Caledonia	3
Communications, Infrastructure, & Transport/Chernobyl Nuclear Accident, Chernobyl Ukraine, 1986	5
Anthropology, Ethnology, Exploration & Travel/Otway Ranges (Vic)	1
Literature/Spanish literature - Film and video adaptations	1
Hobbies, Recreation & Sport/Rivers - Recreational use	7
Agriculture, Business, Commerce & Industry/Slave labor	4
People/Lowenstein, Wendy, 1925-	3
Economics, Philosophy, Politics, Religion & Sociology/Said, Edward	1
Economics, Philosophy, Politics, Religion & Sociology/Social justice - Australia	5
Crafts & Visual Arts/Delacroix, Eugene, 1798-1863	5
Crafts & Visual Arts/Architecture, Islamic	5
Education, Instruction, Teaching & Schools/Reading - Aids and devices	24
Climate, Environment, Natural Resources & Disasters/Plant diseases - Research	4
Anthropology, Ethnology, Exploration & Travel/Khan, Kublai, 1216-1294	1
Aboriginal Australia/Benedictine Abbey of New Norcia, Western Australia - History	3
Armed Forces, Military, War & Weapons/World War, 1939-1945 - Campaigns - Solomon Islands - Guadalcanal	5
Economics, Philosophy, Politics, Religion & Sociology/Labor - History	6
Mathematics, Science & Technology/Constellations	6
Music & Performing Arts/Cohen, Leonard, 1934-	1
Crafts & Visual Arts/Griffin, Walter Burley, 1876-1937	4
People/Thodorakis, Mikis	1
People/Clark, Paraskeva	1
Places/Orange (N.S.W.)	3
Agriculture, Business, Commerce & Industry/Fungi in agriculture	2
Places/Bombay (India)	11
Mathematics, Science & Technology/Statistics	34
Crafts & Visual Arts/Sewing machines	3
Literature/Romance fiction	3
Anthropology, Ethnology, Exploration & Travel/Carpentaria, Gulf of, Region (N.T. and Qld.)	5
Agriculture, Business, Commerce & Industry/Biscuit industry	3
People/Barandra, Timotei	1
Crafts & Visual Arts/Color photography	4
Crafts & Visual Arts/Wood-carving	26
Food, Health, Lifestyle, Medicine, Psychology & Safety/Traffic accidents - Psychological aspects	5
People/Masaccio, 1401-1428?	1
People/Thiering, B. E. (Barbara Elizabeth)	1
Economics, Philosophy, Politics, Religion & Sociology/Economic development	32
Climate, Environment, Natural Resources & Disasters/Environment	157
Hobbies, Recreation & Sport/Cricket - Bowling	6
Climate, Environment, Natural Resources & Disasters/Gardening	64
Armed Forces, Military, War & Weapons/Vietnam War, 1961-1975 - Motion pictures and the war	31
Agriculture, Business, Commerce & Industry/Advertising - Australia - History	14
History/Religions	46
Anthropology, Ethnology, Exploration & Travel/Liverpool (Merseyside, England)	5
Agriculture, Business, Commerce & Industry/Organizational commitment	2
People/Gance, Abel	5
Food, Health, Lifestyle, Medicine, Psychology & Safety/Infants - Mortality	6
People/Charlemagne, Emperor, 742-814	3
Agriculture, Business, Commerce & Industry/Pests	7
History/China - History - 20th century	49
History/Flinders, Matthew, 1774-1814	5
Food, Health, Lifestyle, Medicine, Psychology & Safety/Medical technology	41
Family, Gender Identity, Relationships & Sexuality/Dependency in Children	5
People/Beazley, Kim C. (Kim Christian)1948-	1
Education, Instruction, Teaching & Schools/Italian language	21
History/Solomon, King of Israel	2
Food, Health, Lifestyle, Medicine, Psychology & Safety/Cookery, Asian	13
Mathematics, Science & Technology/Defense reaction (Physiology)	11
Food, Health, Lifestyle, Medicine, Psychology & Safety/Children - Conduct of life	56
Education, Instruction, Teaching & Schools/Examinations	4
Agriculture, Business, Commerce & Industry/Gas producers	9
People/Chisholm, Caroline, 1808-1877	1
People/Ellis, Ruth	1
Literature/Arden, John	1
Mathematics, Science & Technology/Friction	9
Animals & Wildlife/Mosquitoes	10
Food, Health, Lifestyle, Medicine, Psychology & Safety/Brain	59
Climate, Environment, Natural Resources & Disasters/Jungle ecology - India	4
Climate, Environment, Natural Resources & Disasters/Wildfires	34
Places/Liverpool (Merseyside, England)	5
Agriculture, Business, Commerce & Industry/Papermaking	9
Climate, Environment, Natural Resources & Disasters/Ecology	127
Food, Health, Lifestyle, Medicine, Psychology & Safety/Cooks	9
Literature/Literature	1407
People/Horowitz, Vladimir, 1903-1989	1
Literature/Mass media and literature	3
Crafts & Visual Arts/Engraving	14
Music & Performing Arts/Gifford, Helen	1
Economics, Philosophy, Politics, Religion & Sociology/Manila (Philippines) - Social conditions	2
People/Tunick, Spencer	1
Armed Forces, Military, War & Weapons/Naval operations - History	5
People/Bosch, Hieronymus, d. 1516	4
Armed Forces, Military, War & Weapons/Submarine boats	16
Agriculture, Business, Commerce & Industry/Quality of products	8
Mathematics, Science & Technology/Refrigerators	10
Climate, Environment, Natural Resources & Disasters/Reforestation	18
Music & Performing Arts/Songs, French - Canada	12
Crafts & Visual Arts/Group of Seven (Group of artists)	2
People/George I, King of Great Britain, 1660-1727	2
Armed Forces, Military, War & Weapons/Holocaust survivors - Biography	14
Education, Instruction, Teaching & Schools/Computer-assisted instruction	5
Crafts & Visual Arts/Fashion - France	45
Food, Health, Lifestyle, Medicine, Psychology & Safety/Infants - Growth	16
Economics, Philosophy, Politics, Religion & Sociology/Secularism - Australia	3
People/Levinson, Daniel J.	1
Economics, Philosophy, Politics, Religion & Sociology/Israel - Foreign relations	7
Anthropology, Ethnology, Exploration & Travel/Arctic regions	52
Music & Performing Arts/Sidney Myer Music Bowl (Melbourne, Vic.)	4
History/History, Modern	13
Economics, Philosophy, Politics, Religion & Sociology/Banks and banking, American	6
Animals & Wildlife/Animal life cycles	38
Animals & Wildlife/Bird populations	11
Economics, Philosophy, Politics, Religion & Sociology/Ku-Klux Klan	7
History/Sarajevo (Bosnia and Hercegovina) - History - Siege, 1992-	5
Economics, Philosophy, Politics, Religion & Sociology/Ambition	25
Education, Instruction, Teaching & Schools/Audio-visual education	55
Places/Tasmania	57
People/Reymond, Jacques	1
Mathematics, Science & Technology/Heredity and environment	10
History/Caligula, Emperor of Rome, 12-41	1
Literature/Mythology	54
People/Reed, John, 1887-1920	1
Literature/Printing - History	11
History/Themistocles, ca. 524-ca. 459 B.C.	1
Animals & Wildlife/Animal populations	24
Food, Health, Lifestyle, Medicine, Psychology & Safety/Memory	102
Music & Performing Arts/Parker, Charlie, 1920-1955	6
Animals & Wildlife/Animal defenses	8
Mathematics, Science & Technology/Food chains	20
Education, Instruction, Teaching & Schools/Study, Method of	29
Climate, Environment, Natural Resources & Disasters/Recycling (Waste, etc.)	46
Music & Performing Arts/Amateur plays	3
Advertising, Film, Journalism, Mass Media & TV/Motion pictures - Soviet Union - History	7
Animals & Wildlife/Goats	8
Crafts & Visual Arts/Chatres - Cathedrale de Chatres	4
Climate, Environment, Natural Resources & Disasters/Ecology - Canada	16
People/Murphy, Lionel, 1922-1986	1
Hobbies, Recreation & Sport/Sports - Accidents and injuries	13
Advertising, Film, Journalism, Mass Media & TV/Pudovkin, V. I. (Vsevolod Illarionovich), 1893-1953	2
Hobbies, Recreation & Sport/Tennis players - United States	5
Family, Gender Identity, Relationships & Sexuality/Teenagers	210
Agriculture, Business, Commerce & Industry/Farmers' wives	6
History/Anne Boleyn, Queen, Consort of Henry VIII, King of England, 1507-1536	3
Anthropology, Ethnology, Exploration & Travel/Spain	10
Advertising, Film, Journalism, Mass Media & TV/Film festivals - United States - New York - Awards	86
People/King, Inge, 1918-	1
Advertising, Film, Journalism, Mass Media & TV/Emmy Awards	9
Anthropology, Ethnology, Exploration & Travel/Sydney (N.S.W.) - Social life and customs	6
People/Eichmann, Adolf, 1906-1962	1
Economics, Philosophy, Politics, Religion & Sociology/Youth - United States	12
Agriculture, Business, Commerce & Industry/Sales promotion	12
Anthropology, Ethnology, Exploration & Travel/Human geography	20
People/De Groen, Alma, 1941-	1
History/Levellers	1
Economics, Philosophy, Politics, Religion & Sociology/Asia - Social conditions	9
History/Trajan, Emperor of Rome, 53-117	2
History/Downer, Alexander, 1951-	1
People/Gandhi, Mahatma, 1869-1948	16
Agriculture, Business, Commerce & Industry/Dyes and dyeing	11
History/Eureka Stockade (Ballarat, Vic.)	3
Hobbies, Recreation & Sport/Outdoor recreation - Scotlan	5
People/Pavarotti, Luciano, 1935-	4
Anthropology, Ethnology, Exploration & Travel/Australia, Central	22
Anthropology, Ethnology, Exploration & Travel/Albury (N.S.W.)	7
People/Szabo, Violette, 1921-1945	1
Agriculture, Business, Commerce & Industry/Business planning	9
Crafts & Visual Arts/Sansom, Gareth, 1939-	1
Family, Gender Identity, Relationships & Sexuality/Self-perception	1
People/Stead, Christina, 1902-1983	1
Armed Forces, Military, War & Weapons/Mines, Military	4
Economics, Philosophy, Politics, Religion & Sociology/Chile - Social conditions	4
Anthropology, Ethnology, Exploration & Travel/Fiji - Description and travel	7
History/Campbell, Alec	1
Music & Performing Arts/Williams, Tennessee, 1911-1983	2
People/Noonuccal, Oodgeroo, 1920-	5
Hobbies, Recreation & Sport/Olympic Games (17th : 1960 : Rome, Italy)	3
History/Historic buildings - Great Britain	58
Anthropology, Ethnology, Exploration & Travel/Krakow (Poland)	5
Places/Italy	16
Mathematics, Science & Technology/Space sciences	111
Food, Health, Lifestyle, Medicine, Psychology & Safety/Food poisoning	6
Agriculture, Business, Commerce & Industry/Proofreading	4
Anthropology, Ethnology, Exploration & Travel/Children - Brazil	5
Economics, Philosophy, Politics, Religion & Sociology/Runaway teenagers	17
Crafts & Visual Arts/David, Gerard, ca. 1460-1523	1
Hobbies, Recreation & Sport/Basketball - Rules	15
People/De Gaulle, Charles, 1890-1970	11
Armed Forces, Military, War & Weapons/Speer, Albert, 1905-	2
Food, Health, Lifestyle, Medicine, Psychology & Safety/Pregnancy, Adolescent	17
Education, Instruction, Teaching & Schools/Media - Study and teaching	11
Agriculture, Business, Commerce & Industry/Industries - Malaysia	9
People/Best, Charles	3
Economics, Philosophy, Politics, Religion & Sociology/Gandhi, Mahatma, 1869-1948	16
Hobbies, Recreation & Sport/Beaches	56
Economics, Philosophy, Politics, Religion & Sociology/Disarmament	3
Food, Health, Lifestyle, Medicine, Psychology & Safety/Handicapped - Great Britain	6
Agriculture, Business, Commerce & Industry/Jeans (Clothing)	7
Agriculture, Business, Commerce & Industry/Work	56
Anthropology, Ethnology, Exploration & Travel/Northern Territory	34
Hobbies, Recreation & Sport/Horse racing - England	4
Places/Nova Scotia	10
Literature/Winton, Tim	2
Economics, Philosophy, Politics, Religion & Sociology/Prostitution	71
Food, Health, Lifestyle, Medicine, Psychology & Safety/Blind-deaf children	4
History/North America - History	11
Economics, Philosophy, Politics, Religion & Sociology/Census	3
Crafts & Visual Arts/Arts - Study and teaching	39
Agriculture, Business, Commerce & Industry/Fashion - United States	4
People/Bjelke-Peterson, Joh, Sir, 1911-	3
Crafts & Visual Arts/Critics	5
Crafts & Visual Arts/Degas, Edgar, 1834-1917	14
Animals & Wildlife/Animal ecology	135
Food, Health, Lifestyle, Medicine, Psychology & Safety/Immunization	17
Anthropology, Ethnology, Exploration & Travel/Korea (North)	4
Agriculture, Business, Commerce & Industry/Fruit-culture	4
Anthropology, Ethnology, Exploration & Travel/Palestinian Arabs	26
People/Jampijinpa, Darby	2
People/Rushforth, Peter	2
History/Bible - History of Biblical events	6
People/Hume, Hamilton, 1797-1873	2
Hobbies, Recreation & Sport/Precious stones	6
Anthropology, Ethnology, Exploration & Travel/Women - Australia	75
Family, Gender Identity, Relationships & Sexuality/Gay and lesbian studies	278
Economics, Philosophy, Politics, Religion & Sociology/Social realism	6
Crafts & Visual Arts/Color - Physiological effect	8
Economics, Philosophy, Politics, Religion & Sociology/Public welfare	60
Agriculture, Business, Commerce & Industry/Food industry and trade - Hygienic aspects	15
People/Pizarro, Francisco, ca. 1475-1541	3
Economics, Philosophy, Politics, Religion & Sociology/Speeches, addresses, etc.	19
Agriculture, Business, Commerce & Industry/Weavers	10
Places/Brussels (Belgium)	9
Armed Forces, Military, War & Weapons/Nuremberg War Crime Trials, Nuremberg, Germany, 1946-1949	6
Anthropology, Ethnology, Exploration & Travel/Ferntree Gully (Vic.)	1
Animals & Wildlife/Birds - Canada	14
People/Schindler, Oskar, 1908-1974	2
Literature/Irish literature	7
Crime, Espionage, Justice, Police & Prisons/Legal aid	4
Hobbies, Recreation & Sport/Strong men	4
Economics, Philosophy, Politics, Religion & Sociology/Pilgrims and pilgrimages	21
History/Australia - Politics and government - 1891-1901	14
Food, Health, Lifestyle, Medicine, Psychology & Safety/Cervix uteri - Cancer	10
